STATE 	DISTRICT	SEQUENCED GENOME COUNT	DATE OF LAST UPDATE (dd/mm/yyyy)
Uttar Pradesh 	Hamirpur	0	22/04/2021
Uttar Pradesh 	Hapur (Panchsheel Nagar)	0	22/04/2021
Uttar Pradesh 	Hardoi	0	22/04/2021
Uttar Pradesh 	Hathras	0	22/04/2021
Uttar Pradesh 	Jalaun	0	22/04/2021
Uttar Pradesh 	Jaunpur	0	22/04/2021
Uttar Pradesh 	Jhansi	0	22/04/2021
Uttar Pradesh 	Kannauj	0	22/04/2021
Uttar Pradesh 	Kanpur Dehat	0	22/04/2021
Uttar Pradesh 	Kanpur Nagar	0	22/04/2021
Uttar Pradesh 	Kanshiram Nagar (Kasganj)	0	22/04/2021
Uttar Pradesh 	Kaushambi	0	22/04/2021
Uttar Pradesh 	Kushinagar (Padrauna)	0	22/04/2021
Uttar Pradesh 	Lakhimpur - Kheri	0	22/04/2021
Uttar Pradesh 	Lalitpur	0	22/04/2021
Uttar Pradesh 	Lucknow	0	22/04/2021
Uttar Pradesh 	Maharajganj	0	22/04/2021
Uttar Pradesh 	Mahoba	0	22/04/2021
Uttar Pradesh 	Mainpuri	0	22/04/2021
Uttar Pradesh 	Mathura	0	22/04/2021
Uttar Pradesh 	Mau	0	22/04/2021
Uttar Pradesh 	Meerut	0	22/04/2021
Uttar Pradesh 	Mirzapur	0	22/04/2021
Uttar Pradesh 	Moradabad	0	22/04/2021
Uttar Pradesh 	Muzaffarnagar	0	22/04/2021
Uttar Pradesh 	Pilibhit	0	22/04/2021
Uttar Pradesh 	Pratapgarh	0	22/04/2021
Uttar Pradesh 	RaeBareli	0	22/04/2021
Uttar Pradesh 	Rampur	0	22/04/2021
Uttar Pradesh 	Saharanpur	0	22/04/2021
Uttar Pradesh 	Sambhal (Bhim Nagar)	0	22/04/2021
Uttar Pradesh 	Sant Kabir Nagar	0	22/04/2021
Uttar Pradesh 	Shahjahanpur	0	22/04/2021
Uttar Pradesh 	Shamali (Prabuddh Nagar)	0	22/04/2021
Uttar Pradesh 	Shravasti	0	22/04/2021
Uttar Pradesh 	Siddharth Nagar	0	22/04/2021
Uttar Pradesh 	Sitapur	0	22/04/2021
Uttar Pradesh 	Sonbhadra	0	22/04/2021
Uttar Pradesh 	Sultanpur	0	22/04/2021
Uttar Pradesh 	Unnao	0	22/04/2021
Uttar Pradesh 	Varanasi	0	22/04/2021
West Bengal 	Alipurduar	0	22/04/2021
West Bengal 	Bankura	17	22/04/2021
West Bengal 	Birbhum	1	22/04/2021
West Bengal 	Cooch Behar	1	22/04/2021
West Bengal 	Dakshin Dinajpur (South Dinajpur)	1	22/04/2021
West Bengal 	Darjeeling	6	22/04/2021
West Bengal 	Hooghly	45	22/04/2021
West Bengal 	Howrah	347	22/04/2021
West Bengal 	Jalpaiguri	13	22/04/2021
West Bengal 	Jhargram	5	22/04/2021
West Bengal 	Kalimpong	0	22/04/2021
West Bengal 	Kolkata	308	22/04/2021
West Bengal 	Malda	6	22/04/2021
West Bengal 	Murshidabad	4	22/04/2021
West Bengal 	Nadia	50	22/04/2021
West Bengal 	North 24 Parganas	182	22/04/2021
West Bengal 	Paschim Medinipur (West Medinipur)	20	22/04/2021
West Bengal 	Paschim (West) Burdwan (Bardhaman)	22	22/04/2021
West Bengal 	Purba Burdwan (Bardhaman)	62	22/04/2021
West Bengal 	Purba Medinipur (East Medinipur)	34	22/04/2021
West Bengal 	Purulia	4	22/04/2021
West Bengal 	South 24 Parganas	57	22/04/2021
West Bengal 	Uttar Dinajpur (North Dinajpur)	23	22/04/2021
